type,value,label,remarks
Countries,65,FALKLAND ISLANDS,FALKLAND ISLANDS (MALVINAS)
Countries,66,FIJI,FIJI
Countries,67,FINLAND,FINLAND
Countries,68,FRANCE,FRANCE
Countries,69,ENGLAND,ENGLAND
Countries,70,FRENCH GUIANA,FRENCH GUIANA
Countries,71,FRENCH POLYNESIA,FRENCH POLYNESIA
Countries,72,DJIBOUTI,DJIBOUTI
Countries,73,GABON,GABON
Countries,74,"GAMBIA, THE","GAMBIA, THE"
Countries,75,PALESTINIAN TERRITORIES,PALESTINIAN TERRITORIES
Countries,76,GERMANY,GERMANY (Deutschland)
Countries,77,GHANA,GHANA
Countries,78,GIBRALTAR,GIBRALTAR
Countries,79,KIRIBATI,KIRIBATI
Countries,80,GREECE,GREECE
Countries,81,GREENLAND,GREENLAND
Countries,82,GRENADA,GRENADA
Countries,83,GUADELOUPE,GUADELOUPE
Countries,84,GUAM,GUAM
Countries,85,GUATEMALA,GUATEMALA
Countries,86,GUINEA,GUINEA
Countries,87,GUYANA,GUYANA
Countries,88,HAITI,HAITI
Countries,89,VATICAN CITY,VATICAN CITY (Holy See)
Countries,90,HONDURAS,HONDURAS
Countries,91,HONG KONG,HONG KONG (Special Administrative Region of China)
Countries,92,HUNGARY,HUNGARY
Countries,93,ICELAND,ICELAND
Countries,94,INDIA,INDIA
Countries,95,INDONESIA,INDONESIA
Countries,96,IRAN,IRAN (Islamic Republic of Iran)
Countries,97,IRAQ,IRAQ
Countries,98,IRELAND,IRELAND
Countries,99,ISRAEL,ISRAEL
Countries,100,ITALY,ITALY
Countries,101,COTE D'IVOIRE,COTE D'IVOIRE (Ivory Coast)
Countries,102,JAMAICA,JAMAICA
Countries,103,JAPAN,JAPAN
Countries,104,KAZAKHSTAN,KAZAKHSTAN
Countries,105,JORDAN,JORDAN (Hashemite Kingdom of Jordan)
Countries,106,KENYA,KENYA
Countries,107,NORTH KOREA,KOREA (Democratic Peoples Republic of [North] Korea)
Countries,108,SOUTH KOREA,KOREA (Republic of [South] Korea)
Countries,109,KUWAIT,KUWAIT
Countries,110,KYRGYZSTAN,KYRGYZSTAN
Countries,111,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO PEOPLE'S DEMOCRATIC REPUBLIC
Countries,112,LEBANON,LEBANON
Countries,113,LESOTHO,LESOTHO
Countries,114,LATVIA,LATVIA
Countries,115,LIBERIA,LIBERIA
Countries,116,LIBYA,LIBYA (Libyan Arab Jamahirya)
Countries,117,LIECHTENSTEIN,LIECHTENSTEIN
Countries,118,LITHUANIA,LITHUANIA
Countries,119,LUXEMBOURG,LUXEMBOURG
Countries,120,MACAO,MACAO (Special Administrative Region of China)
Countries,121,MADAGASCAR,MADAGASCAR
Countries,122,MALAWI,MALAWI
Countries,123,MALAYSIA,MALAYSIA
Countries,124,MALDIVES,MALDIVES
Countries,125,MALI,MALI
Countries,126,MALTA,MALTA
Countries,127,MARTINIQUE,MARTINIQUE
Countries,128,MAURITANIA,MAURITANIA
Countries,129,MAURITIUS,MAURITIUS
Countries,130,MEXICO,MEXICO
Countries,131,MONACO,MONACO
Countries,132,MONGOLIA,MONGOLIA
Countries,133,MOLDOVA,MOLDOVA
Countries,134,MONTENEGRO,MONTENEGRO
Countries,135,MONTSERRAT,MONTSERRAT
Countries,136,MOROCCO,MOROCCO
Countries,137,MOZAMBIQUE,MOZAMBIQUE
Countries,138,OMAN,OMAN
Countries,139,NAMIBIA,NAMIBIA
Countries,140,NAURU,NAURU
Countries,141,NEPAL,NEPAL
Countries,142,NETHERLANDS,NETHERLANDS
Countries,143,NETHERLANDS ANTILLES,NETHERLANDS ANTILLES
Countries,144,ARUBA,ARUBA
Countries,145,NEW CALEDONIA,NEW CALEDONIA
Countries,146,VANUATU,VANUATU
Countries,147,NEW ZEALAND,NEW ZEALAND
Countries,148,NICARAGUA,NICARAGUA
Countries,149,NIGER,NIGER
Countries,150,NIGERIA,NIGERIA
Countries,151,NIUE,NIUE
Countries,152,NORWAY,NORWAY
Countries,153,NORTHERN MARIANA ISLANDS,NORTHERN MARIANA ISLANDS
Countries,154,MICRONESIA,MICRONESIA (Federated States of Micronesia)
Countries,155,MARSHALL ISLANDS,MARSHALL ISLANDS
Countries,156,PALAU,PALAU
Countries,157,PAKISTAN,PAKISTAN
Countries,158,PANAMA,PANAMA
Countries,159,PAPUA NEW GUINEA,PAPUA NEW GUINEA
Countries,160,PARAGUAY,PARAGUAY
Countries,161,PERU,PERU
Countries,162,PHILIPPINES,PHILIPPINES
Countries,163,POLAND,POLAND
Countries,164,PORTUGAL,PORTUGAL
Countries,165,GUINEA-BISSAU,GUINEA-BISSAU
Countries,166,TIMOR-LESTE,TIMOR-LESTE (formerly East Timor)
Countries,167,PUERTO RICO,PUERTO RICO
Countries,168,QATAR,QATAR
Countries,169,REUNION,REUNION
Countries,170,ROMANIA,ROMANIA
Countries,171,RUSSIAN FEDERATION,RUSSIAN FEDERATION
Countries,172,RWANDA,RWANDA
Countries,173,SAINT HELENA,SAINT HELENA
Countries,174,SAINT KITTS AND NEVIS,SAINT KITTS AND NEVIS
Countries,175,ANGUILLA,ANGUILLA
Countries,176,SAINT LUCIA,SAINT LUCIA
Countries,177,SAINT PIERRE AND MIQUELON,SAINT PIERRE AND MIQUELON
Countries,178,SAINT VINCENT AND THE GRENADINES,SAINT VINCENT AND THE GRENADINES
Countries,179,SAN MARINO,SAN MARINO (Republic of)
Countries,180,SAO TOME AND PRINCIPE,SAO TOME AND PRINCIPE
Countries,181,SAUDI ARABIA,SAUDI ARABIA (Kingdom of Saudi Arabia)
Countries,182,SENEGAL,SENEGAL
Countries,183,SERBIA,SERBIA (Republic of Serbia)
Countries,184,SEYCHELLES,SEYCHELLES
Countries,185,SIERRA LEONE,SIERRA LEONE
Countries,186,SINGAPORE,SINGAPORE
Countries,187,SLOVAKIA,SLOVAKIA (Slovak Republic)
Countries,188,VIET NAM,VIET NAM
Countries,189,SLOVENIA,SLOVENIA
Countries,190,SOMALIA,SOMALIA
Countries,191,SOUTH AFRICA,SOUTH AFRICA (Zuid Afrika)
Countries,192,ZIMBABWE,ZIMBABWE
Countries,193,SPAIN,SPAIN (Espana)
Countries,194,SUDAN,SUDAN
Countries,195,SURINAME,SURINAME
Countries,196,SWAZILAND,SWAZILAND
Countries,197,SWEDEN,SWEDEN
Countries,198,SWITZERLAND,SWITZERLAND (Confederation of Helvetia)
Countries,199,SYRIAN ARAB REPUBLIC,SYRIAN ARAB REPUBLIC
Countries,200,TAJIKISTAN,TAJIKISTAN
Countries,201,THAILAND,THAILAND
Countries,202,TOGO,TOGO
Countries,203,TOKELAU,TOKELAU
Countries,204,TONGA,TONGA
Countries,205,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO
Countries,206,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES
Countries,207,TUNISIA,TUNISIA
Countries,208,TURKEY,TURKEY
Countries,209,TURKMENISTAN,TURKMENISTAN
Countries,210,TURKS AND CAICOS ISLANDS,TURKS AND CAICOS ISLANDS
Countries,211,TUVALU,TUVALU
Countries,212,UGANDA,UGANDA
Countries,213,UKRAINE,UKRAINE
Countries,214,MACEDONIA,MACEDONIA (Former Yugoslav Republic of Macedonia)
Countries,215,EGYPT,EGYPT
Countries,216,UNITED KINGDOM,UNITED KINGDOM (Great Britain)
Countries,217,TANZANIA,TANZANIA
Countries,218,UNITED STATES,UNITED STATES
Countries,219,"VIRGIN ISLANDS, U.S.","VIRGIN ISLANDS, U.S."
Countries,220,BURKINA FASO,BURKINA FASO
Countries,221,URUGUAY,URUGUAY
Countries,222,UZBEKISTAN,UZBEKISTAN
Countries,223,VENEZUELA,VENEZUELA
Countries,224,WALLIS AND FUTUNA,WALLIS AND FUTUNA
Countries,225,SAMOA,SAMOA (formerly Western Samoa)
Countries,226,YEMEN,YEMEN (Yemen Arab Republic)
Countries,227,ZAMBIA,ZAMBIA (formerly Northern Rhodesia)
Countries,228,Non-Malaysian,Non-Malaysian
States,1,Johor,Johor
States,2,Kedah,Kedah
States,3,Kelantan,Kelantan
States,4,WP Kuala Lumpur,WP Kuala Lumpur
States,5,Melaka,Melaka
States,6,Negeri Sembilan,Negeri Sembilan
States,7,Pahang,Pahang
States,8,Perak,Perak
States,9,Perlis,Perlis
States,10,Pulau Pinang,Pulau Pinang
States,11,WP Putrajaya,WP Putrajaya
States,12,Sabah,Sabah
States,13,Sarawak,Sarawak
States,14,Selangor,Selangor
States,15,Terengganu,Terengganu
States,16,WP Labuan,WP Labuan
Cities,1,Ayer Baloi,Johor
Cities,2,Ayer Hitam,Johor
Cities,3,Ayer Tawar 2,Johor
Cities,4,Ayer Tawar 3,Johor
Cities,5,Ayer Tawar 4,Johor
Cities,6,Ayer Tawar 5,Johor
Cities,7,Bandar Penawar,Johor
Cities,8,Bandar Tenggara,Johor
Cities,9,Batu Anam,Johor
Cities,10,Batu Pahat,Johor
Cities,11,Bekok,Johor
Cities,12,Benut,Johor
Cities,13,Bukit Gambir,Johor
Cities,14,Bukit Pasir,Johor
Cities,15,Chaah,Johor
Cities,16,Endau,Johor
Cities,17,Gelang Patah,Johor
Cities,18,Gerisek,Johor
Cities,19,Gugusan Taib Andak,Johor
Cities,20,Jementah,Johor
Cities,21,Johor Bahru,Johor
Cities,22,Kahang,Johor
Cities,23,Kluang,Johor
Cities,24,Kota Tinggi,Johor
Cities,25,Kukup,Johor
Cities,26,Kulai,Johor
Cities,27,Labis,Johor
Cities,28,Layang-Layang,Johor
Cities,29,Masai,Johor
Cities,30,Mersing,Johor
Cities,31,Muar,Johor
Cities,32,Nusajaya,Johor
Cities,33,Pagoh,Johor
Cities,34,Paloh,Johor
Cities,35,Panchor,Johor
Cities,36,Parit Jawa,Johor
Cities,37,Parit Raja,Johor
Cities,38,Parit Sulong,Johor
Cities,39,Pasir Gudang,Johor
Cities,40,Pekan Nenas,Johor
Cities,41,Pengerang,Johor
Cities,42,Pontian,Johor
Cities,43,Rengam,Johor
Cities,44,Rengit,Johor
Cities,45,Segamat,Johor
Cities,46,Semerah,Johor
Cities,47,Senai,Johor
Cities,48,Senggarang,Johor
Cities,49,Seri Gading,Johor
Cities,50,Seri Medan,Johor
Cities,51,Simpang Rengam,Johor
Cities,52,Sri Gading,Johor
Cities,53,Sri Medan,Johor
Cities,54,Sungai Mati,Johor
Cities,55,Tangkak,Johor
Cities,56,Pulau Tioman,Johor
Cities,57,Ulu Tiram,Johor
Cities,58,Yong Peng,Johor
Cities,59,Alor Setar,Kedah
Cities,60,Ayer Hitam,Kedah
Cities,61,Baling,Kedah
Cities,62,Bandar Baharu,Kedah
Cities,63,Bedong,Kedah
Cities,64,Bukit Kayu Hitam,Kedah
Cities,65,Changloon,Kedah
Cities,66,Gurun,Kedah
Cities,67,Jeniang,Kedah
Cities,68,Jitra,Kedah
Cities,69,Karangan,Kedah
Cities,70,Kepala Batas,Kedah
Cities,71,Kodiang,Kedah
Cities,72,Kota Kuala Muda,Kedah
Cities,73,Kota Sarang Semut,Kedah
Cities,74,Kuala Kedah,Kedah
Cities,75,Kuala Ketil,Kedah
Cities,76,Kuala Nerang,Kedah
Cities,77,Kuala Pegang,Kedah
Cities,78,Kulim,Kedah
Cities,79,Kupang,Kedah
Cities,80,Langgar,Kedah
Cities,81,Langkawi,Kedah
Cities,82,Lunas,Kedah
Cities,83,Merbok,Kedah
Cities,84,Padang Serai,Kedah
Cities,85,Pendang,Kedah
Cities,86,Pokok Sena,Kedah
Cities,87,Serdang,Kedah
Cities,88,Sik,Kedah
Cities,89,Simpang Empat,Kedah
Cities,90,Sungai Petani,Kedah
Cities,91,Universiti Utara Malaysia,Kedah
Cities,92,Yan,Kedah
Cities,93,Ayer Lanas,Kelantan
Cities,94,Bachok,Kelantan
Cities,95,Cherang Ruku,Kelantan
Cities,96,Dabong,Kelantan
Cities,97,Gua Musang,Kelantan
Cities,98,Jeli,Kelantan
Cities,99,Kem Desa Pahlawan,Kelantan
Cities,100,Ketereh,Kelantan
Cities,101,Kota Bahru,Kelantan
Cities,102,Kota Bharu,Kelantan
Cities,103,Kuala Balah,Kelantan
Cities,104,Kuala Krai,Kelantan
Cities,105,Kubang Kerian,Kelantan
Cities,106,Machang,Kelantan
Cities,107,Melor,Kelantan
Cities,108,Pasir Mas,Kelantan
Cities,109,Pasir Puteh,Kelantan
Cities,110,Pulai Chondong,Kelantan
Cities,111,Rantau Panjang,Kelantan
Cities,112,Selising,Kelantan
Cities,113,Tanah Merah,Kelantan
Cities,114,Temangan,Kelantan
Cities,115,Tumpat,Kelantan
Cities,116,Wakaf Bharu,Kelantan
Cities,117,Alor Gajah,Melaka
Cities,118,Asahan,Melaka
Cities,119,Ayer Keroh,Melaka
Cities,120,Bemban,Melaka
Cities,121,Durian Tunggal,Melaka
Cities,122,Jasin,Melaka
Cities,123,Kem Trendak,Melaka
Cities,124,Kuala Sungai Baru,Melaka
Cities,125,Lubok China,Melaka
Cities,126,Masjid Tanah,Melaka
Cities,127,Melaka,Melaka
Cities,128,Merlimau,Melaka
Cities,129,Selandar,Melaka
Cities,130,Sungai Rambai,Melaka
Cities,131,Sungai Udang,Melaka
Cities,132,Tanjong Kling,Melaka
Cities,133,Bahau,Negeri Sembilan
Cities,134,Bandar Baru Enstek,Negeri Sembilan
Cities,135,Bandar Seri Jempol,Negeri Sembilan
Cities,136,Batu Kikir,Negeri Sembilan
Cities,137,Gemas,Negeri Sembilan
Cities,138,Gemencheh,Negeri Sembilan
Cities,139,Johol,Negeri Sembilan
Cities,140,Kota,Negeri Sembilan
Cities,141,Kuala Klawang,Negeri Sembilan
Cities,142,Kuala Pilah,Negeri Sembilan
Cities,143,Labu,Negeri Sembilan
Cities,144,Linggi,Negeri Sembilan
Cities,145,Mantin,Negeri Sembilan
Cities,146,Nilai,Negeri Sembilan
Cities,147,Port Dickson,Negeri Sembilan
Cities,148,Pusat  Bandar Palong,Negeri Sembilan
Cities,149,Rantau,Negeri Sembilan
Cities,150,Rembau,Negeri Sembilan
Cities,151,Rompin,Negeri Sembilan
Cities,152,Seremban,Negeri Sembilan
Cities,153,Si Rusa,Negeri Sembilan
Cities,154,Simpang Durian,Negeri Sembilan
Cities,155,Simpang Pertang,Negeri Sembilan
Cities,156,Tampin,Negeri Sembilan
Cities,157,Tanjong Ipoh,Negeri Sembilan
Cities,158,Balok,Pahang
Cities,159,Bandar Bera,Pahang
Cities,160,Bandar Pusat Jengka,Pahang
Cities,161,Bandar Tun Abdul Razak,Pahang
Cities,162,Benta,Pahang
Cities,163,Bentong,Pahang
Cities,164,Brinchang,Pahang
Cities,165,Bukit Fraser,Pahang
Cities,166,Bukit Goh,Pahang
Cities,167,Chenor,Pahang
Cities,168,Chini,Pahang
Cities,169,Damak,Pahang
Cities,170,Dong,Pahang
Cities,171,Gambang,Pahang
Cities,172,Genting Highlands,Pahang
Cities,173,Jaya Gading,Pahang
Cities,174,Jerantut,Pahang
Cities,175,Karak,Pahang
Cities,176,Kemayan,Pahang
Cities,177,Kuala Krau,Pahang
Cities,178,Kuala Lipis,Pahang
Cities,179,Kuala Rompin,Pahang
Cities,180,Kuantan,Pahang
Cities,181,Lanchang,Pahang
Cities,182,Lurah Bilut,Pahang
Cities,183,Maran,Pahang
Cities,184,Mentakab,Pahang
Cities,185,Muadzam Shah,Pahang
Cities,186,Padang Tengku,Pahang
Cities,187,Pekan,Pahang
Cities,188,Raub,Pahang
Cities,189,Ringlet,Pahang
Cities,190,Sega,Pahang
Cities,191,Sungai Koyan,Pahang
Cities,192,Sungai Lembing,Pahang
Cities,193,Sungai Ruan,Pahang
Cities,194,Tanah Rata,Pahang
Cities,195,Temerloh,Pahang
Cities,196,Triang,Pahang
Cities,197,Ayer Tawar,Perak
Cities,198,Bagan Datoh,Perak
Cities,199,Bagan Serai,Perak
Cities,200,Bandar Seri Iskandar,Perak
Cities,201,Batu Gajah,Perak
Cities,202,Batu Kurau,Perak
Cities,203,Behrang Stesen,Perak
Cities,204,Bidor,Perak
Cities,205,Bota,Perak
Cities,206,Bruas,Perak
Cities,207,Changkat Jering,Perak
Cities,208,Changkat Keruing,Perak
Cities,209,Chemor,Perak
Cities,210,Chenderiang,Perak
Cities,211,Chenderong Balai,Perak
Cities,212,Chikus,Perak
Cities,213,Enggor,Perak
Cities,214,Gerik,Perak
Cities,215,Gopeng,Perak
Cities,216,Hutan Melintang,Perak
Cities,217,Intan,Perak
Cities,218,Ipoh,Perak
Cities,219,Jeram,Perak
Cities,220,Kampar,Perak
Cities,221,Kampung Gajah,Perak
Cities,222,Kampung Kepayang,Perak
Cities,223,Kamunting,Perak
Cities,224,Kuala Kangsar,Perak
Cities,225,Kuala Kurau,Perak
Cities,226,Kuala Sepetang,Perak
Cities,227,Lambor Kanan,Perak
Cities,228,Langkap,Perak
Cities,229,Lenggong,Perak
Cities,230,Lumut,Perak
Cities,231,Malim Nawar,Perak
Cities,232,Mambang Di Awan,Perak
Cities,233,Manong,Perak
Cities,234,Matang,Perak
Cities,235,Padang Rengas,Perak
Cities,236,Pangkor,Perak
Cities,237,Pantai Remis,Perak
Cities,238,Parit,Perak
Cities,239,Parit Buntar,Perak
Cities,240,Pengkalan Hulu,Perak
Cities,241,Pusing,Perak
Cities,242,Rantau Panjang,Perak
Cities,243,Sauk,Perak
Cities,244,Selama,Perak
Cities,245,Selekoh,Perak
Cities,246,Seri Manjong,Perak
Cities,247,Seri Manjung,Perak
Cities,248,Simpang,Perak
Cities,249,Simpang Ampat Semanggol,Perak
Cities,250,Sitiawan,Perak
Cities,251,Slim River,Perak
Cities,252,Sungai Siput,Perak
Cities,253,Sungai Sumun,Perak
Cities,254,Sungkai,Perak
Cities,255,TLDM Lumut,Perak
Cities,256,Taiping,Perak
Cities,257,Tanjong Malim,Perak
Cities,258,Tanjong Piandang,Perak
Cities,259,Tanjong Rambutan,Perak
Cities,260,Tanjong Tualang,Perak
Cities,261,Tapah,Perak
Cities,262,Tapah Road,Perak
Cities,263,Teluk Intan,Perak
Cities,264,Temoh,Perak
Cities,265,Trolak,Perak
Cities,266,Trong,Perak
Cities,267,Tronoh,Perak
Cities,268,Ulu Bernam,Perak
Cities,269,Ulu Kinta,Perak
Cities,270,Arau,Perlis
Cities,271,Kaki Bukit,Perlis
Cities,272,Kangar,Perlis
Cities,273,Kuala Perlis,Perlis
Cities,274,Padang Besar,Perlis
Cities,275,Simpang Ampat,Perlis
Cities,276,Ayer Itam,Pulau Pinang
Cities,277,Balik Pulau,Pulau Pinang
Cities,278,Batu Ferringhi,Pulau Pinang
Cities,279,Batu Maung,Pulau Pinang
Cities,280,Bayan Lepas,Pulau Pinang
Cities,281,Bukit Mertajam,Pulau Pinang
Cities,282,Butterworth,Pulau Pinang
Cities,283,Gelugor,Pulau Pinang
Cities,284,Jelutong,Pulau Pinang
Cities,285,Kepala Batas,Pulau Pinang
Cities,286,Kubang Semang,Pulau Pinang
Cities,287,Nibong Tebal,Pulau Pinang
Cities,288,Padang Tembak,Pulau Pinang
Cities,289,Penaga,Pulau Pinang
Cities,290,Penang Hill,Pulau Pinang
Cities,291,Perai,Pulau Pinang
Cities,292,Permatang Pauh,Pulau Pinang
Cities,293,Pulau Pinang,Pulau Pinang
Cities,294,Simpang Ampat,Pulau Pinang
Cities,295,Sungai Jawi,Pulau Pinang
Cities,296,Tanjong Bungah,Pulau Pinang
Cities,297,Tasek Gelugor,Pulau Pinang
Cities,298,USM Pulau Pinang,Pulau Pinang
Cities,299,Beaufort,Sabah
Cities,300,Beluran,Sabah
Cities,301,Beverly,Sabah
Cities,302,Bongawan,Sabah
Cities,303,Inanam,Sabah
Cities,304,Keningau,Sabah
Cities,305,Kota Belud,Sabah
Cities,306,Kota Kinabalu,Sabah
Cities,307,Kota Kinabatangan,Sabah
Cities,308,Kota Marudu,Sabah
Cities,309,Kuala Penyu,Sabah
Cities,310,Kudat,Sabah
Cities,311,Kunak,Sabah
Cities,312,Lahad Datu,Sabah
Cities,313,Likas,Sabah
Cities,314,Membakut,Sabah
Cities,315,Menumbok,Sabah
Cities,316,Nabawan,Sabah
Cities,317,Pamol,Sabah
Cities,318,Papar,Sabah
Cities,319,Penampang,Sabah
Cities,320,Putatan,Sabah
Cities,321,Ranau,Sabah
Cities,322,Sandakan,Sabah
Cities,323,Semporna,Sabah
Cities,324,Sipitang,Sabah
Cities,325,Tambunan,Sabah
Cities,326,Tamparuli,Sabah
Cities,327,Tanjung Aru,Sabah
Cities,328,Tawau,Sabah
Cities,329,Tenghilan,Sabah
Cities,330,Tenom,Sabah
Cities,331,Tuaran,Sabah
Cities,332,Asajaya,Sarawak
Cities,333,Balingian,Sarawak
Cities,334,Baram,Sarawak
Cities,335,Bau,Sarawak
Cities,336,Bekenu,Sarawak
Cities,337,Belaga,Sarawak
Cities,338,Belawai,Sarawak
Cities,339,Betong,Sarawak
Cities,340,Bintangor,Sarawak
Cities,341,Bintulu,Sarawak
Cities,342,Dalat,Sarawak
Cities,343,Daro,Sarawak
Cities,344,Debak,Sarawak
Cities,345,Engkilili,Sarawak
Cities,346,Julau,Sarawak
Cities,347,Kabong,Sarawak
Cities,348,Kanowit,Sarawak
Cities,349,Kapit,Sarawak
Cities,350,Kota Samarahan,Sarawak
Cities,351,Kuching,Sarawak
Cities,352,Lawas,Sarawak
Cities,353,Limbang,Sarawak
Cities,354,Lingga,Sarawak
Cities,355,Long Lama,Sarawak
Cities,356,Lubok Antu,Sarawak
Cities,357,Lundu,Sarawak
Cities,358,Lutong,Sarawak
Cities,359,Matu,Sarawak
Cities,360,Miri,Sarawak
Cities,361,Mukah,Sarawak
Cities,362,Nanga Medamit,Sarawak
Cities,363,Niah,Sarawak
Cities,364,Pusa,Sarawak
Cities,365,Roban,Sarawak
Cities,366,Saratok,Sarawak
Cities,367,Sarikei,Sarawak
Cities,368,Sebauh,Sarawak
Cities,369,Sebuyau,Sarawak
Cities,370,Serian,Sarawak
Cities,371,Sibu,Sarawak
Cities,372,Siburan,Sarawak
Cities,373,Simunjan,Sarawak
Cities,374,Song,Sarawak
Cities,375,Spaoh,Sarawak
Cities,376,Sri Aman,Sarawak
Cities,377,Sundar,Sarawak
Cities,378,Tatau,Sarawak
Cities,379,Ampang,Selangor
Cities,380,Bandar Baru Bangi,Selangor
Cities,381,Bandar Puncak Alam,Selangor
Cities,382,Bangi,Selangor
Cities,383,Banting,Selangor
Cities,384,Batang Berjuntai,Selangor
Cities,385,Batang Kali,Selangor
Cities,386,Batangkali,Selangor
Cities,387,Batu Arang,Selangor
Cities,388,Batu Caves,Selangor
Cities,389,Beranang,Selangor
Cities,390,Bukit Rotan,Selangor
Cities,391,Cheras,Selangor
Cities,392,Cyberjaya,Selangor
Cities,393,Dengkil,Selangor
Cities,394,Gombak,Selangor
Cities,395,Hulu Langat,Selangor
Cities,396,Jenjarom,Selangor
Cities,397,Jeram,Selangor
Cities,398,KLIA,Selangor
Cities,399,Kajang,Selangor
Cities,400,Kapar,Selangor
Cities,401,Kerling,Selangor
Cities,402,Klang,Selangor
Cities,403,Kuala Kubu Bharu,Selangor
Cities,404,Kuala Selangor,Selangor
Cities,405,Pandan,Selangor
Cities,406,Pelabuhan Klang,Selangor
Cities,407,Petaling Jaya,Selangor
Cities,408,Puchong,Selangor
Cities,409,Pulau Carey,Selangor
Cities,410,Pulau Indah,Selangor
Cities,411,Pulau Ketam,Selangor
Cities,412,Rasa,Selangor
Cities,413,Rawang,Selangor
Cities,414,Sabak Bernam,Selangor
Cities,415,Sekinchan,Selangor
Cities,416,Semenyih,Selangor
Cities,417,Sepang,Selangor
Cities,418,Serdang,Selangor
Cities,419,Serendah,Selangor
Cities,420,Seri Kembangan,Selangor
Cities,421,Shah Alam,Selangor
Cities,422,Subang Airport,Selangor
Cities,423,Subang Jaya,Selangor
Cities,424,Sungai Ayer Tawar,Selangor
Cities,425,Sungai Besar,Selangor
Cities,426,Sungai Buloh,Selangor
Cities,427,Sungai Pelek,Selangor
Cities,428,Tanjong Karang,Selangor
